name,confederation,squad_size,average_age,total_market_value,fifa_ranking
San Marino,UEFA,26,23.8,1250000.0,211
Andorra,UEFA,27,29.1,3910000.0,172
Montenegro,UEFA,28,28.0,69430000.0,80
Guatemala,CONCACAF,23,25.8,7780000.0,97
Uganda,CAF,29,28.1,8750000.0,89
Ethiopia,CAF,23,27.6,2900000.0,143
El Salvador,CONCACAF,23,26.6,4760000.0,100
Fiji,OFC,26,28.4,2430000.0,155
India,AFC,22,26.8,4000000.0,138
Indonesia,AFC,23,25.7,19549999.0,118
Tajikistan,AFC,24,26.0,8250000.0,101
Qatar,AFC,26,29.5,19930000.0,56
Oman,AFC,28,28.7,8330000.0,79
Brunei Darussalam,AFC,23,28.5,800000.0,194
Bangladesh,AFC,23,26.4,7250000.0,181
Dominican Republic,CONCACAF,25,25.5,12830000.0,144
Philippines,AFC,22,26.4,3330000.0,135
Nicaragua,CONCACAF,22,25.7,3780000.0,131
Singapore,AFC,28,28.2,4580000.0,148
Sri Lanka,AFC,23,27.2,860000.0,187
Chinese Taipei,AFC,23,26.4,2010000.0,174
Maldives,AFC,22,29.4,675000.0,173
Jordan,AFC,26,28.5,20299999.0,63
Malaysia,AFC,28,28.7,7600000.0,136
Belize,CONCACAF,24,27.0,350000.0,180
Bhutan,AFC,23,24.6,840000.0,192
Hongkong,AFC,22,27.1,3380000.0,156
Cambodia,AFC,26,26.1,2580000.0,175
Myanmar,AFC,24,26.5,3000000.0,158
Comoros,CAF,30,24.2,20000000.0,108
Laos,,23,23.2,1320000.0,185
Timor-Leste,AFC,23,23.5,785000.0,201
Puerto Rico,CONCACAF,22,23.1,825000.0,154
Germany,UEFA,26,28.1,947000000.0,10
England,UEFA,26,27.3,34375000.0,4
Portugal,UEFA,26,28.1,34375000.0,5
Spain,UEFA,26,26.8,34375000.0,2
Italy,UEFA,23,21.0,319000000.0,12
France,UEFA,26,27.1,34375000.0,3
Greece,UEFA,25,26.3,275600006.0,48
Netherlands,UEFA,26,27.8,754200012.0,8
Scotland,UEFA,26,29.3,170250000.0,42
Türkiye,UEFA,26,27.7,473700012.0,22
Belgium,UEFA,26,27.7,547500000.0,9
Austria,UEFA,26,28.7,245199997.0,24
Switzerland,UEFA,26,28.4,332500000.0,19
Bulgaria,UEFA,25,25.7,30049999.0,87
Australia,AFC,26,27.4,77449997.0,27
Japan,AFC,26,27.6,270850006.0,18
Denmark,UEFA,23,25.6,365000000.0,21
Argentina,CONMEBOL,26,29.2,807500000.0,1
Serbia,UEFA,27,23.1,209500000.0,43
Brazil,CONMEBOL,26,29.4,928200012.0,6
Norway,UEFA,26,26.9,589900024.0,31
Ghana,CAF,26,27.0,234350006.0,73
Poland,UEFA,26,26.4,232100006.0,36
Finland,UEFA,27,26.2,41849998.0,75
Nigeria,CAF,23,26.6,172050003.0,26
Czech Republic,UEFA,25,28.0,171500000.0,43
Bosnia-Herzegovina,UEFA,26,26.5,146399994.0,64
Romania,UEFA,24,26.1,56950001.0,54
Russia,UEFA,33,26.4,242699997.0,35
Uruguay,CONMEBOL,26,28.8,359299988.0,16
Belarus,UEFA,24,26.3,15380000.0,96
Hungary,UEFA,29,25.7,209199997.0,39
Senegal,CAF,26,27.1,478100006.0,15
Slovakia,UEFA,26,26.9,59849998.0,47
Venezuela,CONMEBOL,27,25.6,79000000.0,49
United States,CONCACAF,26,27.0,385649994.0,17
Ireland,UEFA,27,25.0,146850006.0,58
Canada,CONCACAF,26,27.0,198649994.0,30
Latvia,UEFA,25,27.1,9380000.0,137
Croatia,UEFA,26,28.4,387299988.0,11
Sweden,UEFA,26,27.6,406079987.0,38
Iraq,AFC,26,27.0,21200001.0,57
Albania,UEFA,26,27.4,88800003.0,66
Uzbekistan,AFC,26,28.3,85129997.0,50
Iceland,UEFA,24,27.7,89099998.0,74
Morocco,CAF,26,26.7,447700012.0,7
Panama,CONCACAF,26,30.5,34549999.0,34
Luxembourg,UEFA,23,26.2,14980000.0,98
Paraguay,CONMEBOL,26,29.1,153649994.0,41
Iran,AFC,26,30.4,32049999.0,20
Peru,CONMEBOL,24,27.1,30629999.0,52
Lebanon,AFC,23,28.9,5550000.0,115
Malta,UEFA,27,27.1,15000000.0,161
Slovenia,UEFA,25,26.6,100500000.0,59
"Korea, South",AFC,26,28.1,139050003.0,25
Honduras,CONCACAF,26,25.4,21430000.0,65
Algeria,CAF,26,26.9,256899994.0,28
Cyprus,UEFA,27,26.8,19900000.0,124
Georgia,UEFA,27,26.3,261600006.0,72
Tunisia,CAF,26,26.7,69949997.0,45
Jamaica,CONCACAF,24,23.2,9050000.0,71
Egypt,CAF,26,29.1,116480003.0,29
Ukraine,UEFA,25,26.6,247000000.0,32
Chile,CONMEBOL,25,25.9,66800003.0,51
Gibraltar,UEFA,25,23.8,1840000.0,202
South Africa,CAF,26,26.9,49250000.0,60
Saudi Arabia,AFC,26,28.6,40680000.0,61
Colombia,CONMEBOL,26,30.1,302350006.0,13
Lithuania,UEFA,23,26.3,16180000.0,149
Wales,UEFA,27,26.6,180649994.0,37
Kyrgyzstan,AFC,26,26.1,7050000.0,106
United Arab Emirates,AFC,24,26.8,29049999.0,68
North Macedonia,UEFA,25,27.8,34450001.0,69
Bolivia,CONMEBOL,27,23.8,17850000.0,77
Kosovo,UEFA,27,26.5,147449997.0,78
Israel,UEFA,23,25.4,68099998.0,76
China,AFC,26,27.9,14330000.0,91
Northern Ireland,UEFA,23,23.8,79900002.0,70
Thailand,AFC,24,28.6,6550000.0,94
Ecuador,CONMEBOL,26,26.1,368700012.0,23
Moldova,UEFA,26,25.2,9700000.0,159
Estonia,UEFA,27,25.5,13900000.0,127
Armenia,UEFA,27,26.0,42230000.0,107
Mexico,CONCACAF,26,28.0,191850006.0,14
Libya,CAF,19,26.6,10430000.0,110
Costa Rica,CONCACAF,21,24.8,28200001.0,53
Azerbaijan,UEFA,27,27.7,21680000.0,126
Vietnam,AFC,29,27.6,7430000.0,99
Kazakhstan,UEFA,25,26.0,16299999.0,111
New Zealand,OFC,26,28.3,34299999.0,85
Faroe Islands,UEFA,23,27.5,5130000.0,123
